Time, 3.367097, Position, (-1.68, 0.01, -25.03), Velocity, 3439.669, Acceleration, 75529.98, AngleX, -0.0450653, AngleY, 88.9461, AngleZ, 92.44823, AngularSpeed, 612.0714
Time, 3.468343, Position, (-1.68, 0.01, -24.05), Velocity, 2942.983, Acceleration, 141039.6, AngleX, -0.06937105, AngleY, 88.82748, AngleZ, 93.38545, AngularSpeed, 530.5764
Time, 3.568526, Position, (-1.67, 0.00, -23.05), Velocity, 2702.202, Acceleration, 114089.7, AngleX, -0.01751174, AngleY, 88.71026, AngleZ, 90.77777, AngularSpeed, 494.4035
Time, 3.670103, Position, (-1.66, 0.01, -21.97), Velocity, 2045.678, Acceleration, -61413.2, AngleX, -0.103418, AngleY, 88.57858, AngleZ, 94.16046, AngularSpeed, 380.2585
Time, 3.772023, Position, (-1.65, 0.00, -20.88), Velocity, 1868.871, Acceleration, -2993.228, AngleX, -0.0273152, AngleY, 88.41073, AngleZ, 90.98441, AngularSpeed, 350.3946
Time, 3.874107, Position, (-1.64, 0.01, -19.73), Velocity, 1481.723, Acceleration, 8067.675, AngleX, -0.1807821, AngleY, 88.16409, AngleZ, 95.62187, AngularSpeed, 275.6674
Time, 3.976691, Position, (-1.62, 0.00, -18.56), Velocity, 1144.116, Acceleration, 22988.24, AngleX, -0.03945811, AngleY, 87.81423, AngleZ, 91.03371, AngularSpeed, 204.4882
Time, 4.078191, Position, (-1.60, 0.02, -17.33), Velocity, 663.662, Acceleration, 11819.64, AngleX, -0.4740393, AngleY, 86.84641, AngleZ, 98.54023, AngularSpeed, 91.3851
Time, 4.179693, Position, (-1.55, 0.00, -16.09), Velocity, 225.7801, Acceleration, -124.1605, AngleX, -0.07339661, AngleY, 84.97964, AngleZ, 90.83545, AngularSpeed, 0
Time, 4.282617, Position, (-1.45, 0.02, -15.14), Velocity, 109.7457, Acceleration, 9278.571, AngleX, -176.6451, AngleY, -97.28268, AngleZ, -114.6411, AngularSpeed, 26.16129
Time, 4.385302, Position, (-1.39, 0.03, -14.69), Velocity, 265.7774, Acceleration, -11555.25, AngleX, -177.9677, AngleY, -97.53316, AngleZ, -105.0204, AngularSpeed, 50.6931
Time, 4.486822, Position, (-1.36, 0.01, -14.23), Velocity, 413.9985, Acceleration, 1238.047, AngleX, -179.6262, AngleY, -96.29865, AngleZ, -93.38286, AngularSpeed, 25.45007
Time, 4.587143, Position, (-1.31, 0.01, -13.82), Velocity, 593.3856, Acceleration, 17608.72, AngleX, -179.8089, AngleY, -96.4308, AngleZ, -91.69492, AngularSpeed, 38.9943
Time, 4.689635, Position, (-1.28, 0.01, -13.47), Velocity, 737.941, Acceleration, 26615.83, AngleX, -179.787, AngleY, -96.29074, AngleZ, -91.93157, AngularSpeed, 42.72183
Time, 4.790788, Position, (-1.28, 0.01, -13.17), Velocity, 825.6179, Acceleration, 16312.9, AngleX, -179.7226, AngleY, -95.50597, AngleZ, -92.8756, AngularSpeed, 16.98743
Time, 4.891753, Position, (-1.27, 0.01, -12.90), Velocity, 919.756, Acceleration, 4371.35, AngleX, -179.8435, AngleY, -94.96459, AngleZ, -91.80134, AngularSpeed, 41.62367
Time, 4.993944, Position, (-1.28, 0.01, -12.67), Velocity, 1044.571, Acceleration, 1131.634, AngleX, -179.853, AngleY, -94.41087, AngleZ, -91.90557, AngularSpeed, 92.13066
Time, 5.095888, Position, (-1.28, 0.01, -12.49), Velocity, 1115.779, Acceleration, 6849.28, AngleX, -179.8668, AngleY, -94.17516, AngleZ, -91.82391, AngularSpeed, 120.4415
