Time, 3.245691, Position, (-1.99, 0.01, -27.38), Velocity, 6.284177, Acceleration, 0.7905715, AngleX, -0.0128963, AngleY, 87.66645, AngleZ, 90.31647, AngularSpeed, 0.4356251
Time, 3.345743, Position, (-1.97, 0.01, -26.74), Velocity, 6.4094, Acceleration, 1.25158, AngleX, 0.03335707, AngleY, 87.6632, AngleZ, 89.18262, AngularSpeed, 0.3954426
Time, 3.446476, Position, (-1.94, 0.01, -26.09), Velocity, 6.434424, Acceleration, 0.2484231, AngleX, 0.05614245, AngleY, 87.62511, AngleZ, 88.64655, AngularSpeed, 0.4810402
Time, 3.548179, Position, (-1.91, 0.01, -25.43), Velocity, 6.50453, Acceleration, 0.6893231, AngleX, -0.05059417, AngleY, 87.71156, AngleZ, 91.26585, AngularSpeed, 0.4764505
Time, 3.649567, Position, (-1.88, 0.01, -24.76), Velocity, 6.590027, Acceleration, 0.8432647, AngleX, 0.01505963, AngleY, 87.5402, AngleZ, 89.64944, AngularSpeed, 0.4779328
Time, 3.75068, Position, (-1.86, 0.01, -24.09), Velocity, 6.667387, Acceleration, 0.7650808, AngleX, 0.01138352, AngleY, 87.60007, AngleZ, 89.72839, AngularSpeed, 0.5176299
Time, 3.852446, Position, (-1.83, 0.01, -23.40), Velocity, 6.738061, Acceleration, 0.6944838, AngleX, -0.02856564, AngleY, 87.59743, AngleZ, 90.68079, AngularSpeed, 0.5831749
Time, 3.954315, Position, (-1.80, 0.01, -22.71), Velocity, 6.797193, Acceleration, 0.5804607, AngleX, 0.01807052, AngleY, 87.60025, AngleZ, 89.56882, AngularSpeed, 0.6140931
Time, 4.055359, Position, (-1.77, 0.01, -22.02), Velocity, 6.879676, Acceleration, 0.8163158, AngleX, 0.1054984, AngleY, 87.62909, AngleZ, 87.45364, AngularSpeed, 0.6493275
Time, 4.15585, Position, (-1.74, 0.01, -21.31), Velocity, 6.985382, Acceleration, 1.051887, AngleX, -0.08909054, AngleY, 87.62967, AngleZ, 92.15126, AngularSpeed, 0.7365671
Time, 4.258904, Position, (-1.71, 0.01, -20.59), Velocity, 6.992661, Acceleration, 0.07063701, AngleX, 0.009769166, AngleY, 87.63892, AngleZ, 89.76307, AngularSpeed, 0.7678469
Time, 4.359833, Position, (-1.68, 0.01, -19.88), Velocity, 7.135291, Acceleration, 1.413166, AngleX, -0.05967512, AngleY, 87.61507, AngleZ, 91.43251, AngularSpeed, 0.8543572
Time, 4.462626, Position, (-1.65, 0.01, -19.08), Velocity, 7.77725, Acceleration, 6.245127, AngleX, 0.04059314, AngleY, 87.65118, AngleZ, 89.01044, AngularSpeed, 1.018334
Time, 4.563561, Position, (-1.62, 0.01, -18.34), Velocity, 7.270885, Acceleration, -5.016771, AngleX, 0.04965507, AngleY, 87.64123, AngleZ, 88.79472, AngularSpeed, 1.037092
Time, 4.66609, Position, (-1.59, 0.01, -17.59), Velocity, 7.316461, Acceleration, 0.4445163, AngleX, 0.0345982, AngleY, 87.61879, AngleZ, 89.16805, AngularSpeed, 1.108383
Time, 4.766711, Position, (-1.56, 0.01, -16.84), Velocity, 7.468538, Acceleration, 1.511388, AngleX, -0.1086228, AngleY, 87.62206, AngleZ, 92.61391, AngularSpeed, 1.22778
Time, 4.868958, Position, (-1.52, 0.01, -16.08), Velocity, 7.515855, Acceleration, 0.4627682, AngleX, 0.03611411, AngleY, 87.6237, AngleZ, 89.12981, AngularSpeed, 1.354335
Time, 4.970294, Position, (-1.50, 0.01, -15.30), Velocity, 7.657971, Acceleration, 1.402418, AngleX, -0.1137145, AngleY, 88.0993, AngleZ, 93.42255, AngularSpeed, 1.746052
Time, 5.071995, Position, (-1.46, 0.01, -14.53), Velocity, 7.60047, Acceleration, -0.5653923, AngleX, -0.04831859, AngleY, 87.31098, AngleZ, 91.02867, AngularSpeed, 1.506708
Time, 5.17421, Position, (-1.09, 0.01, -13.91), Velocity, 7.072029, Acceleration, -5.169882, AngleX, 0.5850813, AngleY, 58.77354, AngleZ, 89.03498, AngularSpeed, 12.49795
Time, 5.274593, Position, (-0.62, 0.01, -13.47), Velocity, 6.407986, Acceleration, -6.615111, AngleX, -0.4822748, AngleY, 42.8406, AngleZ, 90.44723, AngularSpeed, 18.46334
Time, 5.377459, Position, (-0.47, 0.01, -12.80), Velocity, 6.638516, Acceleration, 2.24108, AngleX, -0.1518865, AngleY, 77.81959, AngleZ, 90.70364, AngularSpeed, 4.933118
Time, 5.477726, Position, (-0.17, 0.01, -12.17), Velocity, 7.063032, Acceleration, 4.23382, AngleX, 0.1293126, AngleY, 64.50549, AngleZ, 89.72882, AngularSpeed, 13.20285
Time, 5.578681, Position, (0.31, 0.01, -11.62), Velocity, 7.185659, Acceleration, 1.214679, AngleX, -0.2891009, AngleY, 49.14904, AngleZ, 90.33433, AngularSpeed, 22.81144
Time, 5.681159, Position, (0.85, 0.01, -11.02), Velocity, 7.835075, Acceleration, 6.337094, AngleX, 0.5353239, AngleY, 47.67326, AngleZ, 89.41225, AngularSpeed, 28.14034
Time, 5.782251, Position, (1.33, 0.00, -10.46), Velocity, 7.324564, Acceleration, -5.049947, AngleX, -0.6807256, AngleY, 49.00086, AngleZ, 90.7831, AngularSpeed, 28.33959
