Time, 3.374522, Position, (-1.95, 0.01, -27.64), Velocity, 3.977093, Acceleration, -51.57359, AngleX, -0.03506362, AngleY, 87.86973, AngleZ, 90.94255, AngularSpeed, 0
Time, 3.475541, Position, (-1.93, 0.01, -27.05), Velocity, 3.875116, Acceleration, 4.835615, AngleX, -0.04241966, AngleY, 87.86827, AngleZ, 91.13947, AngularSpeed, 0
Time, 3.576121, Position, (-1.91, 0.01, -26.46), Velocity, 3.979758, Acceleration, 73.65277, AngleX, -0.04239936, AngleY, 87.86732, AngleZ, 91.13841, AngularSpeed, 0
Time, 3.677135, Position, (-1.89, 0.01, -25.85), Velocity, 4.060956, Acceleration, 66.81762, AngleX, -0.04668951, AngleY, 87.86652, AngleZ, 91.2531, AngularSpeed, 0
Time, 3.778945, Position, (-1.86, 0.01, -25.24), Velocity, 3.556087, Acceleration, -92.3549, AngleX, -0.04643342, AngleY, 87.86467, AngleZ, 91.24514, AngularSpeed, 7.999302
Time, 3.880462, Position, (-1.84, 0.01, -24.58), Velocity, 17.01001, Acceleration, 3916.781, AngleX, -0.05109296, AngleY, 87.86251, AngleZ, 91.36866, AngularSpeed, 8.488878
Time, 3.982894, Position, (-1.82, 0.01, -23.95), Velocity, 18.48272, Acceleration, 4792.103, AngleX, -0.0582943, AngleY, 87.86197, AngleZ, 91.56108, AngularSpeed, 0
Time, 4.085248, Position, (-1.79, 0.01, -23.32), Velocity, 3.671602, Acceleration, -4231.111, AngleX, -0.06767347, AngleY, 87.86434, AngleZ, 91.81411, AngularSpeed, 0
Time, 4.185509, Position, (-1.77, 0.01, -22.69), Velocity, 3.982634, Acceleration, -4559.662, AngleX, -0.06606203, AngleY, 87.86522, AngleZ, 91.77167, AngularSpeed, 0
Time, 4.287995, Position, (-1.74, 0.01, -22.05), Velocity, 4.837233, Acceleration, 339.764, AngleX, -0.07220002, AngleY, 87.86703, AngleZ, 91.93781, AngularSpeed, 0
Time, 4.38918, Position, (-1.72, 0.01, -21.40), Velocity, 4.558124, Acceleration, 348.4915, AngleX, -0.08383533, AngleY, 87.86449, AngleZ, 92.24712, AngularSpeed, 0
Time, 4.489264, Position, (-1.70, 0.01, -20.76), Velocity, 5.156806, Acceleration, 717.9061, AngleX, -0.09080571, AngleY, 87.86588, AngleZ, 92.43532, AngularSpeed, 0
Time, 4.591806, Position, (-1.67, 0.01, -20.10), Velocity, 3.938786, Acceleration, -154.6938, AngleX, -0.1028764, AngleY, 87.86138, AngleZ, 92.75277, AngularSpeed, 0
Time, 4.693033, Position, (-1.65, 0.01, -19.44), Velocity, 3.643226, Acceleration, -13.82608, AngleX, -0.1222515, AngleY, 87.85907, AngleZ, 93.26665, AngularSpeed, 0
Time, 4.795391, Position, (-1.62, 0.01, -18.76), Velocity, 3.845051, Acceleration, -68.68635, AngleX, -0.1481206, AngleY, 87.85344, AngleZ, 93.94553, AngularSpeed, 0
Time, 4.896393, Position, (-1.60, 0.01, -18.09), Velocity, 3.030074, Acceleration, -233.0154, AngleX, -0.1795485, AngleY, 87.84229, AngleZ, 94.75453, AngularSpeed, 0
Time, 4.997862, Position, (-1.57, 0.01, -17.41), Velocity, 4.091799, Acceleration, 115.3773, AngleX, -0.2490077, AngleY, 87.85342, AngleZ, 96.61382, AngularSpeed, 0
Time, 5.099265, Position, (-1.55, 0.01, -16.72), Velocity, 4.32083, Acceleration, 278.0373, AngleX, -0.3228875, AngleY, 87.85789, AngleZ, 98.568, AngularSpeed, 0
Time, 5.201918, Position, (-1.52, 0.01, -15.97), Velocity, 25.47478, Acceleration, 7493.432, AngleX, -0.9573193, AngleY, 87.86969, AngleZ, 114.1903, AngularSpeed, 0
Time, 5.305066, Position, (-1.50, 0.01, -15.26), Velocity, 3.474828, Acceleration, -6977.863, AngleX, -0.5930957, AngleY, 90.18491, AngleZ, -162.6842, AngularSpeed, 0
Time, 5.405304, Position, (-1.48, 0.01, -14.56), Velocity, 2.78299, Acceleration, -5174.239, AngleX, -0.3300658, AngleY, 47.14348, AngleZ, 90.35574, AngularSpeed, 10.46203
Time, 5.505359, Position, (-1.16, 0.01, -13.99), Velocity, 3.706756, Acceleration, -5963.852, AngleX, -1.137847, AngleY, 36.9117, AngleZ, 90.85474, AngularSpeed, 12.55457
Time, 5.606329, Position, (-0.74, 0.01, -13.53), Velocity, 4.062164, Acceleration, 90.10139, AngleX, -17.62234, AngleY, 6.94441, AngleZ, 92.21564, AngularSpeed, 15.48156
Time, 5.710068, Position, (-0.49, 0.01, -12.98), Velocity, 3.734748, Acceleration, 165.9515, AngleX, -1.403879, AngleY, 90.82912, AngleZ, -149.4374, AngularSpeed, 0
Time, 5.813042, Position, (-0.30, 0.01, -12.34), Velocity, 3.436497, Acceleration, -293.8371, AngleX, -0.3780609, AngleY, 46.51688, AngleZ, 90.39863, AngularSpeed, 10.52231
Time, 5.915516, Position, (0.13, 0.01, -11.80), Velocity, 5.059001, Acceleration, 704.6142, AngleX, -1.135523, AngleY, 39.22889, AngleZ, 90.92711, AngularSpeed, 15.66291
Time, 6.019972, Position, (0.61, 0.01, -11.29), Velocity, 2.667364, Acceleration, -329.5003, AngleX, -0.03590642, AngleY, 47.48859, AngleZ, 90.03917, AngularSpeed, 14.9983
Time, 6.121344, Position, (1.09, 0.01, -10.69), Velocity, 26.23813, Acceleration, 7684.556, AngleX, -0.0329668, AngleY, 47.29421, AngleZ, 90.03572, AngularSpeed, 14.08951
Time, 6.223084, Position, (1.56, 0.01, -10.15), Velocity, 15.4818, Acceleration, 2505.711, AngleX, -0.03560859, AngleY, 47.18826, AngleZ, 90.03844, AngularSpeed, 17.05512
Time, 6.32443, Position, (2.03, 0.01, -9.62), Velocity, 3.745603, Acceleration, -6889.759, AngleX, -0.03719148, AngleY, 47.11341, AngleZ, 90.04004, AngularSpeed, 19.10357
Time, 6.425416, Position, (2.52, 0.01, -9.08), Velocity, 2.670516, Acceleration, -4834.217, AngleX, -0.0395477, AngleY, 47.06324, AngleZ, 90.04251, AngularSpeed, 20.66715
Time, 6.526694, Position, (3.01, 0.01, -8.54), Velocity, 4.300382, Acceleration, 292.0635, AngleX, -0.04341713, AngleY, 47.02016, AngleZ, 90.04659, AngularSpeed, 22.12001
Time, 6.628002, Position, (3.50, 0.01, -8.00), Velocity, 2.885245, Acceleration, -224.9353, AngleX, -0.05761334, AngleY, 46.98431, AngleZ, 90.06174, AngularSpeed, 24.10575
Time, 6.728599, Position, (4.00, 0.01, -7.45), Velocity, 4.124409, Acceleration, 262.3577, AngleX, -0.06736808, AngleY, 46.9457, AngleZ, 90.07211, AngularSpeed, 25.90128
Time, 6.829551, Position, (4.51, 0.01, -6.91), Velocity, 2.800744, Acceleration, -173.1606, AngleX, -0.0754549, AngleY, 46.93268, AngleZ, 90.08073, AngularSpeed, 27.22091
Time, 6.931546, Position, (5.02, 0.01, -6.36), Velocity, 4.313086, Acceleration, 41.65308, AngleX, -0.08579977, AngleY, 46.92309, AngleZ, 90.09176, AngularSpeed, 28.93993
Time, 7.035364, Position, (5.55, 0.01, -5.80), Velocity, 3.249084, Acceleration, -958.4675, AngleX, -0.08969638, AngleY, 46.90961, AngleZ, 90.09589, AngularSpeed, 28.45355
Time, 7.137241, Position, (6.07, 0.01, -5.24), Velocity, 4.008902, Acceleration, -107.1663, AngleX, -0.09817851, AngleY, 46.89656, AngleZ, 90.1049, AngularSpeed, 27.60251
Time, 7.237912, Position, (6.59, 0.01, -4.68), Velocity, 4.165437, Acceleration, -8.325434, AngleX, -0.116021, AngleY, 46.88186, AngleZ, 90.1239, AngularSpeed, 28.13301
Time, 7.345106, Position, (7.19, 0.01, -4.04), Velocity, 11.73307, Acceleration, 1152.926, AngleX, -0.1303319, AngleY, 46.87535, AngleZ, 90.13915, AngularSpeed, 27.0335
